,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u[51510],-1.113,0.847,-2.774,0.409,0.011,0.01,6607.0,5967.0,1.0
u[51650],-0.32,0.545,-1.371,0.708,0.007,0.007,6657.0,5622.0,1.0
u[51013],-0.844,0.798,-2.4,0.607,0.011,0.01,5836.0,7349.0,1.0
u[51027],0.973,0.837,-0.606,2.544,0.014,0.015,3841.0,3712.0,1.0
u[51760],0.858,0.572,-0.279,1.909,0.009,0.008,4501.0,4385.0,1.0
u[51057],-0.227,0.526,-1.233,0.762,0.006,0.005,8645.0,9282.0,1.0
u[51185],0.634,0.782,-0.869,2.061,0.013,0.013,3751.0,4224.0,1.0
u[51183],-0.475,0.629,-1.682,0.69,0.006,0.005,11791.0,9285.0,1.0
u[51683],0.764,0.847,-0.843,2.379,0.013,0.01,4831.0,5293.0,1.0
u[51775],1.064,0.693,-0.191,2.417,0.008,0.008,8196.0,6165.0,1.0
u[51037],-0.271,0.504,-1.221,0.662,0.006,0.004,8291.0,6877.0,1.0
u[51179],0.464,0.436,-0.391,1.26,0.007,0.005,4472.0,4273.0,1.0
v[51095],-0.627,0.91,-2.29,1.163,0.008,0.008,12277.0,10198.0,1.0
v[51167],-0.287,0.905,-1.933,1.448,0.005,0.009,27260.0,11352.0,1.0
v[51173],-0.021,0.914,-1.721,1.711,0.005,0.009,33176.0,10776.0,1.0
v[51540],0.222,0.914,-1.468,1.973,0.006,0.008,21873.0,12092.0,1.0
v[51031],-0.167,0.874,-1.864,1.442,0.006,0.008,25328.0,11056.0,1.0
v[51087],-0.131,0.727,-1.499,1.256,0.006,0.009,16021.0,9057.0,1.0
v[51099],0.509,0.912,-1.125,2.306,0.007,0.009,17718.0,8959.0,1.0
v[51103],-0.103,0.951,-1.886,1.684,0.006,0.008,26356.0,11722.0,1.0
v[51105],-0.392,0.936,-2.13,1.411,0.006,0.008,21514.0,10875.0,1.0
v[51115],-0.301,0.955,-2.116,1.45,0.006,0.009,25819.0,11339.0,1.0
v[51119],-0.198,0.931,-1.891,1.619,0.005,0.009,31086.0,10923.0,1.0
v[51149],-0.331,0.884,-2.011,1.297,0.006,0.008,23281.0,10741.0,1.0
v[51169],0.113,0.916,-1.677,1.792,0.005,0.008,32072.0,11610.0,1.0
v[51177],0.501,0.787,-1.075,1.901,0.009,0.008,8215.0,8756.0,1.0
v[51011],-0.338,0.941,-2.045,1.488,0.007,0.009,17658.0,10499.0,1.0
v[51067],0.923,0.918,-0.832,2.615,0.012,0.009,6391.0,6819.0,1.0
v[51097],0.098,0.901,-1.582,1.818,0.005,0.009,31236.0,10569.0,1.0
v[51121],-0.247,0.876,-1.911,1.381,0.006,0.008,21555.0,10734.0,1.0
v[51127],0.069,0.9,-1.659,1.683,0.005,0.008,31275.0,12090.0,1.0
v[51051],-0.321,0.922,-1.992,1.472,0.005,0.009,30923.0,10608.0,1.0
v[51083],0.377,0.886,-1.253,2.088,0.006,0.008,21848.0,11660.0,1.0
v[51107],-0.863,0.861,-2.487,0.772,0.011,0.009,6962.0,7436.0,1.0
